"","speech_act","speaker_role","target_child_age_months","utterance_count","total_utterance_count","utteranceType_relFreq","utteranceType_ppc"
"321","imperative","Target_Child",37,766,42571,0.0179934697329168,1.79934697329168
"322","imperative","Target_Child",38,639,36910,0.0173123814684367,1.73123814684367
"323","imperative","Target_Child",39,337,26482,0.0127256249527981,1.27256249527981
"324","imperative","Target_Child",40,341,21432,0.0159107876073162,1.59107876073162
"325","imperative","Target_Child",41,300,19204,0.0156217454696938,1.56217454696938
"326","imperative","Target_Child",42,393,19500,0.0201538461538462,2.01538461538462
"327","imperative","Target_Child",43,441,13924,0.0316719333524849,3.16719333524849
"328","imperative","Target_Child",44,585,16205,0.0360999691453255,3.60999691453255
"329","imperative","Target_Child",45,1071,18016,0.0594471580817051,5.94471580817051
"330","imperative","Target_Child",46,795,16309,0.0487460911153351,4.87460911153351
"331","imperative","Target_Child",47,365,12019,0.0303685830767951,3.03685830767951
"332","imperative","Target_Child",48,831,16877,0.0492386087574806,4.92386087574806
"333","imperative","Target_Child",49,243,11749,0.0206826112860669,2.06826112860669
"334","imperative","Target_Child",50,552,14762,0.0373933071399539,3.73933071399539
"335","imperative","Target_Child",51,361,10689,0.0337730377023108,3.37730377023108
"336","imperative","Target_Child",52,296,12507,0.0236667466218917,2.36667466218917
"337","imperative","Target_Child",53,309,9217,0.0335250081371379,3.35250081371379
"338","imperative","Target_Child",54,810,11796,0.0686673448626653,6.86673448626653
"339","imperative","Target_Child",55,384,10625,0.0361411764705882,3.61411764705882
"340","imperative","Target_Child",56,371,9222,0.0402298850574713,4.02298850574713
"341","imperative","Target_Child",57,6971,86666,0.0804352341171855,8.04352341171855
"342","imperative","Target_Child",58,284,11772,0.0241250424736663,2.41250424736663
"343","imperative","Target_Child",59,458,10543,0.0434411457839325,4.34411457839325
"344","imperative","Target_Child",60,171,7196,0.023763201778766,2.3763201778766
"345","imperative","Target_Child",61,182,4646,0.0391734825656479,3.91734825656479
"346","imperative","Target_Child",62,205,5504,0.0372456395348837,3.72456395348837
"347","imperative","Target_Child",63,237,3589,0.0660351072722207,6.60351072722207
"348","imperative","Target_Child",64,245,2933,0.0835322195704057,8.35322195704057
"349","imperative","Target_Child",65,255,2303,0.110725141120278,11.0725141120278
"350","imperative","Target_Child",66,366,3757,0.0974181527814746,9.74181527814746
"351","imperative","Target_Child",67,551,5247,0.105012388031256,10.5012388031256
"352","imperative","Target_Child",68,353,3629,0.0972719757508956,9.72719757508956
"353","imperative","Target_Child",69,471,4885,0.096417604912999,9.6417604912999
"354","imperative","Target_Child",70,289,3162,0.0913978494623656,9.13978494623656
"355","imperative","Target_Child",71,173,2301,0.0751847023033464,7.51847023033464
"356","other","Father",12,1,45,0.0222222222222222,2.22222222222222
"357","other","Father",13,101,101,1,100
"358","other","Father",14,362,1766,0.204983012457531,20.4983012457531
"359","other","Father",15,633,1015,0.623645320197044,62.3645320197044
"360","other","Father",16,273,3854,0.0708354955889984,7.08354955889984
"361","other","Father",17,808,5824,0.138736263736264,13.8736263736264
"362","other","Father",18,108,5134,0.0210362290611609,2.10362290611609
"363","other","Father",19,456,2625,0.173714285714286,17.3714285714286
"364","other","Father",20,119,2540,0.0468503937007874,4.68503937007874
"365","other","Father",21,367,4019,0.0913162478228415,9.13162478228415
"366","other","Father",22,473,6009,0.0787152604426693,7.87152604426693
"367","other","Father",23,367,6203,0.0591649201999033,5.91649201999033
"368","other","Father",24,1133,14586,0.0776772247360483,7.76772247360483
"369","other","Father",25,635,6383,0.0994830017233276,9.94830017233276
"370","other","Father",26,154,6681,0.0230504415506661,2.30504415506661
"371","other","Father",27,213,4502,0.0473123056419369,4.73123056419369
"372","other","Father",28,363,5859,0.0619559651817716,6.19559651817716
"373","other","Father",29,623,6551,0.0950999847351549,9.50999847351549
"374","other","Father",30,979,11516,0.085012156998958,8.5012156998958
"375","other","Father",31,351,6784,0.0517393867924528,5.17393867924528
"376","other","Father",32,226,6924,0.0326400924321202,3.26400924321202
"377","other","Father",33,493,8130,0.060639606396064,6.0639606396064
"378","other","Father",34,696,10157,0.0685241705227922,6.85241705227922
"379","other","Father",35,236,8630,0.0273464658169177,2.73464658169177
"380","other","Father",36,719,18456,0.0389575205895102,3.89575205895102
"381","other","Father",37,111,5370,0.0206703910614525,2.06703910614525
"382","other","Father",38,294,4721,0.0622749417496293,6.22749417496293
"383","other","Father",39,86,5021,0.0171280621390161,1.71280621390161
"384","other","Father",40,99,3781,0.0261835493255752,2.61835493255752
"385","other","Father",41,851,3367,0.252747252747253,25.2747252747253
"386","other","Father",42,404,3778,0.106934886183166,10.6934886183166
"387","other","Father",43,117,2998,0.0390260173448966,3.90260173448966
"388","other","Father",44,34,2594,0.0131071703932151,1.31071703932151
"389","other","Father",45,13,2002,0.00649350649350649,0.649350649350649
"390","other","Father",46,117,3576,0.0327181208053691,3.27181208053691
"391","other","Father",47,94,2533,0.0371101460718516,3.71101460718516
"392","other","Father",48,135,3418,0.0394967817437098,3.94967817437098
"393","other","Father",49,39,1800,0.0216666666666667,2.16666666666667
"394","other","Father",50,153,3888,0.0393518518518519,3.93518518518519
"395","other","Father",51,26,2480,0.0104838709677419,1.04838709677419
"396","other","Father",52,97,2934,0.0330606680299932,3.30606680299932
"397","other","Father",53,8,890,0.00898876404494382,0.898876404494382
"398","other","Father",54,29,1384,0.0209537572254335,2.09537572254335
"399","other","Father",55,6,550,0.0109090909090909,1.09090909090909
"400","other","Father",56,33,1290,0.0255813953488372,2.55813953488372
"401","other","Father",57,668,12414,0.0538102142742065,5.38102142742065
"402","other","Father",58,25,1027,0.0243427458617332,2.43427458617332
"403","other","Father",59,63,1669,0.0377471539844218,3.77471539844218
"404","other","Father",60,20,467,0.0428265524625268,4.28265524625268
"405","other","Father",61,38,734,0.0517711171662125,5.17711171662125
"406","other","Father",62,27,885,0.0305084745762712,3.05084745762712
"407","other","Father",63,18,735,0.0244897959183673,2.44897959183673
"408","other","Father",64,16,574,0.0278745644599303,2.78745644599303
"409","other","Father",65,4,157,0.0254777070063694,2.54777070063694
"410","other","Father",66,15,357,0.0420168067226891,4.20168067226891
"411","other","Father",67,4,140,0.0285714285714286,2.85714285714286
"412","other","Father",69,12,643,0.0186625194401244,1.86625194401244
"413","other","Father",70,19,337,0.056379821958457,5.6379821958457
"414","other","Mother",12,180,7524,0.0239234449760766,2.39234449760766
"415","other","Mother",13,142,8264,0.0171829622458858,1.71829622458858
"416","other","Mother",14,406,25692,0.0158025844620894,1.58025844620894
"417","other","Mother",15,320,9332,0.0342906129447064,3.42906129447064
"418","other","Mother",16,564,11858,0.047562826783606,4.7562826783606
"419","other","Mother",17,578,14924,0.038729563119807,3.8729563119807
"420","other","Mother",18,639,21871,0.0292167710667093,2.92167710667093
"421","other","Mother",19,848,32754,0.0258899676375405,2.58899676375405
"422","other","Mother",20,1076,36271,0.0296655730473381,2.96655730473381
"423","other","Mother",21,1244,29635,0.0419773915977729,4.19773915977729
"424","other","Mother",22,965,26577,0.0363095909997366,3.63095909997366
"425","other","Mother",23,1090,50182,0.0217209357937109,2.17209357937109
"426","other","Mother",24,2933,109564,0.026769741886021,2.6769741886021
"427","other","Mother",25,1963,93838,0.0209190306698779,2.09190306698779
"428","other","Mother",26,1833,90441,0.0202673566192324,2.02673566192324
"429","other","Mother",27,1835,87395,0.0209966245208536,2.09966245208536
"430","other","Mother",28,2560,97122,0.0263586005230535,2.63586005230535
"431","other","Mother",29,2532,95342,0.0265570262843238,2.65570262843238
"432","other","Mother",30,2331,98335,0.0237046829714751,2.37046829714751
"433","other","Mother",31,2951,95374,0.0309413466982616,3.09413466982616
"434","other","Mother",32,2376,82575,0.0287738419618529,2.87738419618529
"435","other","Mother",33,2513,88584,0.0283685541407026,2.83685541407026
"436","other","Mother",34,2376,83610,0.0284176533907427,2.84176533907427
"437","other","Mother",35,1599,58311,0.027421927252148,2.7421927252148
"438","other","Mother",36,3431,106074,0.0323453438165809,3.23453438165809
"439","other","Mother",37,1540,43599,0.0353219110530058,3.53219110530058
"440","other","Mother",38,1120,35276,0.0317496314774918,3.17496314774918
"441","other","Mother",39,790,22728,0.0347588877155931,3.47588877155931
"442","other","Mother",40,829,18464,0.0448981802426343,4.48981802426343
"443","other","Mother",41,399,13225,0.0301701323251418,3.01701323251418
"444","other","Mother",42,673,13930,0.0483129935391242,4.83129935391242
"445","other","Mother",43,472,12588,0.0374960279631395,3.74960279631395
"446","other","Mother",44,649,15419,0.0420909267786497,4.20909267786497
"447","other","Mother",45,875,20397,0.042898465460607,4.2898465460607
"448","other","Mother",46,843,16428,0.0513148283418554,5.13148283418554
"449","other","Mother",47,517,12004,0.0430689770076641,4.30689770076641
"450","other","Mother",48,719,17595,0.0408638817845979,4.08638817845979
"451","other","Mother",49,609,13461,0.0452418096723869,4.52418096723869
"452","other","Mother",50,709,13785,0.0514327167210736,5.14327167210736
"453","other","Mother",51,476,11408,0.0417251051893408,4.17251051893408
"454","other","Mother",52,461,9540,0.0483228511530398,4.83228511530398
"455","other","Mother",53,541,11138,0.0485724546597235,4.85724546597235
"456","other","Mother",54,374,11709,0.0319412417798275,3.19412417798275
"457","other","Mother",55,349,10087,0.0345989887974621,3.45989887974621
"458","other","Mother",56,399,9783,0.0407850352652561,4.07850352652561
"459","other","Mother",57,2319,48625,0.0476915167095116,4.76915167095116
"460","other","Mother",58,440,10754,0.040915008368979,4.0915008368979
"461","other","Mother",59,401,10908,0.0367620095342868,3.67620095342868
"462","other","Mother",60,207,4638,0.0446313065976714,4.46313065976714
"463","other","Mother",61,71,2279,0.031154014918824,3.1154014918824
"464","other","Mother",62,112,2791,0.0401289860265138,4.01289860265138
"465","other","Mother",63,42,2588,0.0162287480680062,1.62287480680062
"466","other","Mother",64,86,3494,0.0246136233543217,2.46136233543217
"467","other","Mother",65,63,2465,0.0255578093306288,2.55578093306288
"468","other","Mother",66,148,4603,0.0321529437323485,3.21529437323485
"469","other","Mother",67,165,6017,0.0274223034734918,2.74223034734918
"470","other","Mother",68,75,3336,0.0224820143884892,2.24820143884892
"471","other","Mother",69,138,4649,0.0296838029683803,2.96838029683803
"472","other","Mother",70,77,2970,0.0259259259259259,2.59259259259259
"473","other","Mother",71,119,2371,0.0501897933361451,5.01897933361451
"474","other","Target_Child",12,2,2046,0.000977517106549365,0.0977517106549365
"475","other","Target_Child",13,57,3356,0.016984505363528,1.6984505363528
"476","other","Target_Child",14,252,16285,0.015474362910654,1.5474362910654
"477","other","Target_Child",15,442,6140,0.0719869706840391,7.19869706840391
"478","other","Target_Child",16,231,9142,0.0252679938744257,2.52679938744257
"479","other","Target_Child",17,551,11354,0.0485291527215078,4.85291527215078
"480","other","Target_Child",18,86,17697,0.00485958071989603,0.485958071989603
"481","other","Target_Child",19,413,23096,0.0178818843089713,1.78818843089713
"482","other","Target_Child",20,134,26403,0.00507518085066091,0.507518085066091
"483","other","Target_Child",21,509,28157,0.0180772099300352,1.80772099300352
"484","other","Target_Child",22,502,27504,0.0182518906340896,1.82518906340896
"485","other","Target_Child",23,391,43601,0.00896768422742598,0.896768422742598
"486","other","Target_Child",24,1362,103637,0.0131420245665158,1.31420245665158
"487","other","Target_Child",25,1090,75181,0.0144983439964885,1.44983439964885
"488","other","Target_Child",26,1018,71405,0.0142567047125551,1.42567047125551
"489","other","Target_Child",27,1134,76383,0.0148462354188759,1.48462354188759
"490","other","Target_Child",28,1446,80095,0.0180535613958424,1.80535613958424
"491","other","Target_Child",29,2362,87761,0.026914005081984,2.6914005081984
"492","other","Target_Child",30,2432,89888,0.0270558917764329,2.70558917764329
"493","other","Target_Child",31,2037,83028,0.024533892180951,2.4533892180951
"494","other","Target_Child",32,1624,75626,0.021474096210298,2.1474096210298
"495","other","Target_Child",33,1973,78185,0.0252350195050201,2.52350195050201
"496","other","Target_Child",34,2749,76215,0.0360690152857049,3.60690152857049
"497","other","Target_Child",35,1413,52360,0.0269862490450726,2.69862490450726
"498","other","Target_Child",36,4594,118276,0.0388413541208698,3.88413541208698
"499","other","Target_Child",37,1319,42571,0.0309835333912758,3.09835333912758
"500","other","Target_Child",38,1355,36910,0.0367109184502845,3.67109184502845
"501","other","Target_Child",39,829,26482,0.0313042821539159,3.13042821539159
"502","other","Target_Child",40,730,21432,0.0340612168719671,3.40612168719671
"503","other","Target_Child",41,1135,19204,0.0591022703603416,5.91022703603416
"504","other","Target_Child",42,986,19500,0.0505641025641026,5.05641025641026
"505","other","Target_Child",43,490,13924,0.0351910370583166,3.51910370583166
"506","other","Target_Child",44,516,16205,0.0318420240666461,3.18420240666461
"507","other","Target_Child",45,500,18016,0.027753108348135,2.7753108348135
"508","other","Target_Child",46,617,16309,0.0378318719725305,3.78318719725305
"509","other","Target_Child",47,343,12019,0.0285381479324403,2.85381479324403
"510","other","Target_Child",48,562,16877,0.0332997570658292,3.32997570658292
"511","other","Target_Child",49,365,11749,0.0310664737424462,3.10664737424462
"512","other","Target_Child",50,622,14762,0.0421352120308901,4.21352120308901
"513","other","Target_Child",51,332,10689,0.0310599681915988,3.10599681915988
"514","other","Target_Child",52,371,12507,0.0296633885024386,2.96633885024386
"515","other","Target_Child",53,332,9217,0.0360203970923294,3.60203970923294
"516","other","Target_Child",54,466,11796,0.0395049169209902,3.95049169209902
"517","other","Target_Child",55,391,10625,0.0368,3.68
"518","other","Target_Child",56,269,9222,0.0291693775753633,2.91693775753633
"519","other","Target_Child",57,5198,86666,0.0599773844414188,5.99773844414188
"520","other","Target_Child",58,427,11772,0.0362725110431532,3.62725110431532
"521","other","Target_Child",59,422,10543,0.0400265579057194,4.00265579057194
"522","other","Target_Child",60,293,7196,0.0407170650361312,4.07170650361312
"523","other","Target_Child",61,173,4646,0.0372363323288851,3.72363323288851
"524","other","Target_Child",62,226,5504,0.0410610465116279,4.10610465116279
"525","other","Target_Child",63,120,3589,0.0334354973530231,3.34354973530231
"526","other","Target_Child",64,102,2933,0.0347766791680873,3.47766791680873
"527","other","Target_Child",65,88,2303,0.0382110290924881,3.82110290924881
"528","other","Target_Child",66,180,3757,0.0479105669417088,4.79105669417088
"529","other","Target_Child",67,181,5247,0.0344959024204307,3.44959024204307
"530","other","Target_Child",68,128,3629,0.0352714246348856,3.52714246348856
"531","other","Target_Child",69,132,4885,0.027021494370522,2.7021494370522
"532","other","Target_Child",70,155,3162,0.0490196078431373,4.90196078431373
"533","other","Target_Child",71,96,2301,0.0417209908735332,4.17209908735332
"534","question","Father",12,12,45,0.266666666666667,26.6666666666667
"535","question","Father",14,313,1766,0.177236693091733,17.7236693091733
"536","question","Father",15,91,1015,0.0896551724137931,8.96551724137931
"537","question","Father",16,919,3854,0.238453554748313,23.8453554748313
"538","question","Father",17,881,5824,0.151270604395604,15.1270604395604
"539","question","Father",18,1073,5134,0.208998831320608,20.8998831320608
"540","question","Father",19,672,2625,0.256,25.6
"541","question","Father",20,542,2540,0.213385826771654,21.3385826771654
"542","question","Father",21,840,4019,0.209007215725305,20.9007215725305
