"","speaker_role","word","target_child_age_months","speech_act","count","total","rel_freq","ppt"
"933","Mother","or",45,"other",12,4598,0.00260983036102653,2.60983036102653
"934","Mother","or",45,"question",108,34073,0.00316966513074869,3.16966513074869
"935","Mother","or",46,"declarative",86,54291,0.00158405628925605,1.58405628925605
"936","Mother","or",46,"imperative",2,1749,0.00114351057747284,1.14351057747284
"937","Mother","or",46,"other",13,3886,0.00334534225424601,3.34534225424601
"938","Mother","or",46,"question",58,25240,0.00229793977812995,2.29793977812995
"939","Mother","or",47,"declarative",79,44610,0.00177090338489128,1.77090338489128
"940","Mother","or",47,"imperative",2,887,0.00225479143179256,2.25479143179256
"941","Mother","or",47,"other",18,3246,0.0055452865064695,5.5452865064695
"942","Mother","or",47,"question",79,19466,0.00405835816295079,4.05835816295079
"943","Mother","or",48,"declarative",101,59904,0.00168603098290598,1.68603098290598
"944","Mother","or",48,"imperative",1,2343,0.000426803243704652,0.426803243704652
"945","Mother","or",48,"other",15,3747,0.00400320256204964,4.00320256204964
"946","Mother","or",48,"question",83,24657,0.00336618404509875,3.36618404509876
"947","Mother","or",49,"declarative",79,44749,0.00176540257882858,1.76540257882858
"948","Mother","or",49,"imperative",1,526,0.00190114068441065,1.90114068441065
"949","Mother","or",49,"other",7,3013,0.00232326584799203,2.32326584799203
"950","Mother","or",49,"question",82,20401,0.00401941081319543,4.01941081319543
"951","Mother","or",50,"declarative",73,42448,0.00171975122502827,1.71975122502827
"952","Mother","or",50,"other",20,3572,0.00559910414333707,5.59910414333707
"953","Mother","or",50,"question",70,20003,0.00349947507873819,3.49947507873819
"954","Mother","or",51,"declarative",93,42822,0.00217178086030545,2.17178086030545
"955","Mother","or",51,"other",8,2485,0.00321931589537223,3.21931589537223
"956","Mother","or",51,"question",66,18475,0.0035723951285521,3.5723951285521
"957","Mother","or",52,"declarative",64,29971,0.00213539755096593,2.13539755096593
"958","Mother","or",52,"imperative",1,655,0.00152671755725191,1.52671755725191
"959","Mother","or",52,"other",10,2158,0.0046339202965709,4.6339202965709
"960","Mother","or",52,"question",61,16384,0.00372314453125,3.72314453125
"961","Mother","or",53,"declarative",48,37652,0.00127483267821098,1.27483267821098
"962","Mother","or",53,"other",13,2943,0.00441726129799524,4.41726129799524
"963","Mother","or",53,"question",56,20297,0.00275902842784648,2.75902842784648
"964","Mother","or",54,"declarative",66,40746,0.00161979089972022,1.61979089972022
"965","Mother","or",54,"imperative",2,1149,0.00174064403829417,1.74064403829417
"966","Mother","or",54,"other",11,1981,0.00555275113579,5.55275113579
"967","Mother","or",54,"question",59,16849,0.00350169149504422,3.50169149504422
"968","Mother","or",55,"declarative",47,36225,0.00129744651483782,1.29744651483782
"969","Mother","or",55,"imperative",2,939,0.00212992545260916,2.12992545260916
"970","Mother","or",55,"other",7,1753,0.00399315459212778,3.99315459212778
