"","speaker_role","word","target_child_age_years","speech_act","count"
"484","Father","and",2.32118412046543,"imperative",2
"485","Father","and",2.32118412046543,"question",27
"486","Father","and",2.32939767282683,"declarative",2
"487","Father","and",2.33333333333333,"declarative",32
"488","Father","and",2.33333333333333,"other",22
"489","Father","and",2.33333333333333,"question",11
"490","Father","and",2.3388090349076,"declarative",27
"491","Father","and",2.3388090349076,"other",5
"492","Father","and",2.3388090349076,"question",8
"493","Father","and",2.34428473648186,"declarative",29
"494","Father","and",2.34428473648186,"other",6
"495","Father","and",2.34428473648186,"question",6
"496","Father","and",2.34702258726899,"question",1
"497","Father","and",2.34976043805613,"declarative",2
"498","Father","and",2.35797399041752,"declarative",27
"499","Father","and",2.35797399041752,"other",6
"500","Father","and",2.35797399041752,"question",4
"501","Father","and",2.36071184120465,"declarative",2
"502","Father","and",2.36344969199179,"declarative",2
"503","Father","and",2.37440109514031,"declarative",14
"504","Father","and",2.37440109514031,"imperative",1
"505","Father","and",2.37440109514031,"other",2
"506","Father","and",2.37440109514031,"question",9
"507","Father","and",2.37713894592745,"declarative",1
"508","Father","and",2.37987679671458,"declarative",6
"509","Father","and",2.38535249828884,"declarative",2
"510","Father","and",2.38535249828884,"question",1
"511","Father","and",2.38809034907598,"declarative",17
"512","Father","and",2.3990417522245,"declarative",9
"513","Father","and",2.3990417522245,"imperative",2
"514","Father","and",2.3990417522245,"question",1
"515","Father","and",2.40177960301164,"declarative",14
"516","Father","and",2.40177960301164,"question",7
"517","Father","and",2.40451745379877,"declarative",5
"518","Father","and",2.4072553045859,"declarative",2
"519","Father","and",2.40999315537303,"declarative",12
"520","Father","and",2.41273100616016,"declarative",1
"521","Father","and",2.4154688569473,"declarative",2
"522","Father","and",2.4154688569473,"other",1
"523","Father","and",2.4154688569473,"question",4
"524","Father","and",2.41666666666667,"declarative",41
"525","Father","and",2.41666666666667,"other",21
"526","Father","and",2.41666666666667,"question",12
"527","Father","and",2.4194045174538,"declarative",4
"528","Father","and",2.42214236824093,"declarative",3
"529","Father","and",2.42488021902806,"declarative",52
"530","Father","and",2.42488021902806,"imperative",2
"531","Father","and",2.42488021902806,"other",5
"532","Father","and",2.42488021902806,"question",17
"533","Father","and",2.43035592060233,"question",1
"534","Father","and",2.43309377138946,"declarative",3
"535","Father","and",2.43309377138946,"other",2
"536","Father","and",2.43309377138946,"question",10
"537","Father","and",2.43583162217659,"declarative",30
"538","Father","and",2.43583162217659,"imperative",1
"539","Father","and",2.43583162217659,"other",3
"540","Father","and",2.43583162217659,"question",3
"541","Father","and",2.43856947296372,"declarative",2
"542","Father","and",2.44404517453799,"declarative",6
"543","Father","and",2.44404517453799,"imperative",1
"544","Father","and",2.44952087611225,"declarative",10
"545","Father","and",2.45225872689938,"declarative",1
"546","Father","and",2.45499657768652,"declarative",34
"547","Father","and",2.45499657768652,"imperative",7
"548","Father","and",2.45499657768652,"other",9
"549","Father","and",2.45499657768652,"question",5
"550","Father","and",2.45773442847365,"declarative",23
"551","Father","and",2.45773442847365,"imperative",6
"552","Father","and",2.45773442847365,"other",7
"553","Father","and",2.45773442847365,"question",5
