"","speaker_role","word","target_child_age_years","speech_act","count","total","rel_freq","ppt"
"19847","Target_Child","or",4.02190280629706,"declarative",1,1194,0.000837520938023451,0.837520938023451
"19848","Target_Child","or",4.02464065708419,"declarative",3,2349,0.00127713920817369,1.27713920817369
"19849","Target_Child","or",4.03011635865845,"declarative",3,2465,0.00121703853955375,1.21703853955375
"19850","Target_Child","or",4.03011635865845,"question",1,400,0.0025,2.5
"19851","Target_Child","or",4.03832991101985,"declarative",1,3409,0.000293341155764154,0.293341155764154
"19852","Target_Child","or",4.03832991101985,"question",1,1179,0.000848176420695505,0.848176420695505
"19853","Target_Child","or",4.04928131416838,"question",2,161,0.0124223602484472,12.4223602484472
"19854","Target_Child","or",4.05201916495551,"declarative",3,1741,0.00172314761631246,1.72314761631246
"19855","Target_Child","or",4.05201916495551,"imperative",1,214,0.00467289719626168,4.67289719626168
"19856","Target_Child","or",4.05201916495551,"question",1,416,0.00240384615384615,2.40384615384615
"19857","Target_Child","or",4.06570841889117,"declarative",3,2719,0.00110334681868334,1.10334681868334
"19858","Target_Child","or",4.07939767282683,"declarative",1,1821,0.000549148819330038,0.549148819330038
"19859","Target_Child","or",4.08333333333333,"declarative",5,2302,0.00217202432667246,2.17202432667246
"19860","Target_Child","or",4.0888090349076,"declarative",2,2410,0.000829875518672199,0.829875518672199
"19861","Target_Child","or",4.0888090349076,"question",1,523,0.00191204588910134,1.91204588910134
"19862","Target_Child","or",4.09154688569473,"declarative",3,1866,0.00160771704180064,1.60771704180064
"19863","Target_Child","or",4.09702258726899,"declarative",1,2236,0.000447227191413238,0.447227191413238
"19864","Target_Child","or",4.09702258726899,"question",1,637,0.00156985871271586,1.56985871271586
"19865","Target_Child","or",4.10523613963039,"declarative",5,849,0.00588928150765607,5.88928150765607
"19866","Target_Child","or",4.10797399041752,"declarative",2,1348,0.00148367952522255,1.48367952522255
"19867","Target_Child","or",4.10797399041752,"question",1,331,0.00302114803625378,3.02114803625378
"19868","Target_Child","or",4.11344969199179,"declarative",1,972,0.00102880658436214,1.02880658436214
"19869","Target_Child","or",4.11344969199179,"question",1,285,0.00350877192982456,3.50877192982456
"19870","Target_Child","or",4.11618754277892,"declarative",1,658,0.00151975683890578,1.51975683890578
"19871","Target_Child","or",4.12440109514031,"question",2,1274,0.00156985871271586,1.56985871271586
"19872","Target_Child","or",4.12987679671458,"declarative",1,1535,0.000651465798045603,0.651465798045603
"19873","Target_Child","or",4.13261464750171,"question",1,273,0.00366300366300366,3.66300366300366
"19874","Target_Child","or",4.13535249828884,"declarative",1,2032,0.000492125984251968,0.492125984251969
"19875","Target_Child","or",4.13535249828884,"question",1,262,0.00381679389312977,3.81679389312977
"19876","Target_Child","or",4.14082819986311,"declarative",3,1026,0.00292397660818713,2.92397660818713
"19877","Target_Child","or",4.14630390143737,"declarative",10,783,0.0127713920817369,12.7713920817369
"19878","Target_Child","or",4.14630390143737,"question",1,53,0.0188679245283019,18.8679245283019
"19879","Target_Child","or",4.1490417522245,"question",1,179,0.00558659217877095,5.58659217877095
"19880","Target_Child","or",4.15999315537303,"declarative",1,851,0.00117508813160987,1.17508813160987
"19881","Target_Child","or",4.16273100616016,"declarative",1,1012,0.000988142292490119,0.988142292490119
"19882","Target_Child","or",4.16273100616016,"imperative",1,187,0.0053475935828877,5.3475935828877
"19883","Target_Child","or",4.16273100616016,"question",2,389,0.0051413881748072,5.1413881748072
"19884","Target_Child","or",4.1694045174538,"declarative",6,4880,0.00122950819672131,1.22950819672131
"19885","Target_Child","or",4.1694045174538,"question",2,999,0.002002002002002,2.002002002002
"19886","Target_Child","or",4.17214236824093,"declarative",7,3049,0.00229583469990161,2.29583469990161
"19887","Target_Child","or",4.17214236824093,"question",1,597,0.0016750418760469,1.6750418760469
"19888","Target_Child","or",4.17488021902806,"declarative",12,5633,0.00213030356825848,2.13030356825848
"19889","Target_Child","or",4.17488021902806,"question",1,1356,0.000737463126843658,0.737463126843658
"19890","Target_Child","or",4.1776180698152,"declarative",5,2307,0.00216731686172518,2.16731686172518
"19891","Target_Child","or",4.18856947296372,"declarative",1,1354,0.000738552437223043,0.738552437223043
"19892","Target_Child","or",4.19678302532512,"declarative",1,410,0.0024390243902439,2.4390243902439
"19893","Target_Child","or",4.20225872689938,"declarative",3,2271,0.00132100396301189,1.32100396301189
"19894","Target_Child","or",4.20225872689938,"other",1,58,0.0172413793103448,17.2413793103448
"19895","Target_Child","or",4.20225872689938,"question",1,349,0.00286532951289398,2.86532951289398
"19896","Target_Child","or",4.21047227926078,"question",2,112,0.0178571428571429,17.8571428571429
"19897","Target_Child","or",4.21321013004791,"declarative",1,4836,0.000206782464846981,0.206782464846981
"19898","Target_Child","or",4.22142368240931,"declarative",1,2177,0.000459347726228755,0.459347726228755
"19899","Target_Child","or",4.23511293634497,"declarative",2,3347,0.000597550044816253,0.597550044816253
"19900","Target_Child","or",4.24332648870637,"declarative",1,532,0.0018796992481203,1.8796992481203
"19901","Target_Child","or",4.24332648870637,"other",2,47,0.0425531914893617,42.5531914893617
"19902","Target_Child","or",4.25,"declarative",4,3270,0.00122324159021407,1.22324159021407
"19903","Target_Child","or",4.25273785078713,"declarative",6,1653,0.00362976406533575,3.62976406533575
"19904","Target_Child","or",4.25273785078713,"question",2,326,0.00613496932515337,6.13496932515337
"19905","Target_Child","or",4.2582135523614,"declarative",1,997,0.00100300902708124,1.00300902708124
"19906","Target_Child","or",4.26368925393566,"declarative",2,3374,0.000592768227622999,0.592768227622999
"19907","Target_Child","or",4.26642710472279,"declarative",1,1774,0.00056369785794814,0.56369785794814
"19908","Target_Child","or",4.26642710472279,"question",2,250,0.008,8
"19909","Target_Child","or",4.26916495550992,"declarative",14,1843,0.00759631036353771,7.59631036353771
"19910","Target_Child","or",4.26916495550992,"other",1,46,0.0217391304347826,21.7391304347826
"19911","Target_Child","or",4.26916495550992,"question",4,682,0.00586510263929619,5.86510263929619
"19912","Target_Child","or",4.27464065708419,"declarative",3,3151,0.000952078705172961,0.952078705172961
"19913","Target_Child","or",4.28011635865845,"declarative",5,1911,0.00261643118785976,2.61643118785976
"19914","Target_Child","or",4.28285420944558,"imperative",1,71,0.0140845070422535,14.0845070422535
"19915","Target_Child","or",4.28559206023272,"declarative",2,1770,0.00112994350282486,1.12994350282486
"19916","Target_Child","or",4.28559206023272,"question",8,671,0.0119225037257824,11.9225037257824
"19917","Target_Child","or",4.28832991101985,"declarative",3,1484,0.00202156334231806,2.02156334231806
"19918","Target_Child","or",4.28832991101985,"question",1,189,0.00529100529100529,5.29100529100529
"19919","Target_Child","or",4.29106776180698,"declarative",3,1181,0.00254022015241321,2.54022015241321
"19920","Target_Child","or",4.29380561259411,"declarative",3,2352,0.00127551020408163,1.27551020408163
"19921","Target_Child","or",4.29380561259411,"question",1,306,0.00326797385620915,3.26797385620915
"19922","Target_Child","or",4.29654346338125,"declarative",6,2242,0.00267618198037467,2.67618198037467
"19923","Target_Child","or",4.30749486652977,"declarative",1,1181,0.000846740050804403,0.846740050804403
"19924","Target_Child","or",4.3266598220397,"declarative",2,1132,0.00176678445229682,1.76678445229682
"19925","Target_Child","or",4.33333333333333,"declarative",2,1684,0.00118764845605701,1.18764845605701
"19926","Target_Child","or",4.33607118412047,"declarative",1,6298,0.000158780565258812,0.158780565258812
"19927","Target_Child","or",4.33607118412047,"question",1,1760,0.000568181818181818,0.568181818181818
"19928","Target_Child","or",4.34154688569473,"declarative",2,3080,0.000649350649350649,0.649350649350649
"19929","Target_Child","or",4.34154688569473,"question",1,606,0.00165016501650165,1.65016501650165
"19930","Target_Child","or",4.34428473648186,"declarative",3,5940,0.000505050505050505,0.505050505050505
"19931","Target_Child","or",4.34428473648186,"other",1,148,0.00675675675675676,6.75675675675676
"19932","Target_Child","or",4.34428473648186,"question",1,1046,0.000956022944550669,0.956022944550669
"19933","Target_Child","or",4.34702258726899,"declarative",1,2598,0.000384911470361817,0.384911470361817
"19934","Target_Child","or",4.34976043805613,"declarative",1,1640,0.000609756097560976,0.609756097560976
"19935","Target_Child","or",4.36344969199179,"question",1,271,0.003690036900369,3.690036900369
"19936","Target_Child","or",4.36892539356605,"declarative",1,2742,0.000364697301239971,0.364697301239971
"19937","Target_Child","or",4.36892539356605,"question",1,817,0.00122399020807834,1.22399020807834
"19938","Target_Child","or",4.37166324435318,"declarative",1,1336,0.000748502994011976,0.748502994011976
"19939","Target_Child","or",4.37166324435318,"question",1,375,0.00266666666666667,2.66666666666667
"19940","Target_Child","or",4.37440109514031,"declarative",1,1185,0.000843881856540084,0.843881856540084
"19941","Target_Child","or",4.37440109514031,"imperative",1,32,0.03125,31.25
"19942","Target_Child","or",4.37440109514031,"other",1,81,0.0123456790123457,12.3456790123457
"19943","Target_Child","or",4.38261464750171,"declarative",3,1992,0.00150602409638554,1.50602409638554
"19944","Target_Child","or",4.38535249828884,"declarative",3,2000,0.0015,1.5
"19945","Target_Child","or",4.38535249828884,"question",1,140,0.00714285714285714,7.14285714285714
"19946","Target_Child","or",4.39082819986311,"declarative",1,396,0.00252525252525253,2.52525252525253
"19947","Target_Child","or",4.40177960301164,"declarative",2,742,0.00269541778975741,2.69541778975741
"19948","Target_Child","or",4.40177960301164,"question",1,229,0.00436681222707424,4.36681222707424
"19949","Target_Child","or",4.40451745379877,"declarative",2,1447,0.00138217000691085,1.38217000691085
"19950","Target_Child","or",4.41666666666667,"declarative",1,650,0.00153846153846154,1.53846153846154
"19951","Target_Child","or",4.41666666666667,"question",3,174,0.0172413793103448,17.2413793103448
"19952","Target_Child","or",4.42488021902806,"declarative",5,1938,0.00257997936016512,2.57997936016512
"19953","Target_Child","or",4.42488021902806,"question",1,332,0.00301204819277108,3.01204819277108
"19954","Target_Child","or",4.4276180698152,"declarative",1,4111,0.000243249817562637,0.243249817562637
"19955","Target_Child","or",4.4276180698152,"other",1,155,0.00645161290322581,6.45161290322581
"19956","Target_Child","or",4.43035592060233,"declarative",6,1716,0.0034965034965035,3.4965034965035
"19957","Target_Child","or",4.43035592060233,"question",1,188,0.00531914893617021,5.31914893617021
"19958","Target_Child","or",4.43583162217659,"declarative",1,1441,0.000693962526023595,0.693962526023595
"19959","Target_Child","or",4.43856947296372,"declarative",2,2566,0.000779423226812159,0.779423226812159
"19960","Target_Child","or",4.43856947296372,"question",1,521,0.00191938579654511,1.91938579654511
"19961","Target_Child","or",4.44130732375086,"declarative",4,3192,0.0012531328320802,1.2531328320802
"19962","Target_Child","or",4.44130732375086,"other",1,186,0.00537634408602151,5.37634408602151
"19963","Target_Child","or",4.44404517453799,"imperative",1,177,0.00564971751412429,5.64971751412429
"19964","Target_Child","or",4.45499657768652,"declarative",1,1092,0.000915750915750916,0.915750915750916
"19965","Target_Child","or",4.45499657768652,"question",1,442,0.00226244343891403,2.26244343891403
"19966","Target_Child","or",4.49332648870637,"declarative",1,466,0.00214592274678112,2.14592274678112
"19967","Target_Child","or",4.4960643394935,"declarative",1,866,0.00115473441108545,1.15473441108545
"19968","Target_Child","or",4.4960643394935,"other",2,98,0.0204081632653061,20.4081632653061
"19969","Target_Child","or",4.4960643394935,"question",3,380,0.00789473684210526,7.89473684210526
"19970","Target_Child","or",4.5,"declarative",3,7136,0.000420403587443946,0.420403587443946
"19971","Target_Child","or",4.5,"other",1,755,0.00132450331125828,1.32450331125828
"19972","Target_Child","or",4.5,"question",1,2122,0.000471253534401508,0.471253534401508
"19973","Target_Child","or",4.50273785078713,"declarative",12,4095,0.00293040293040293,2.93040293040293
"19974","Target_Child","or",4.50273785078713,"question",1,1067,0.000937207122774133,0.937207122774133
"19975","Target_Child","or",4.50547570157426,"declarative",6,2445,0.00245398773006135,2.45398773006135
"19976","Target_Child","or",4.5082135523614,"declarative",2,1308,0.00152905198776758,1.52905198776758
"19977","Target_Child","or",4.51095140314853,"question",2,975,0.00205128205128205,2.05128205128205
"19978","Target_Child","or",4.51368925393566,"declarative",1,1417,0.000705716302046577,0.705716302046577
"19979","Target_Child","or",4.51368925393566,"question",3,617,0.00486223662884927,4.86223662884927
"19980","Target_Child","or",4.52737850787132,"question",1,458,0.00218340611353712,2.18340611353712
"19981","Target_Child","or",4.53011635865845,"declarative",5,1602,0.0031210986267166,3.1210986267166
"19982","Target_Child","or",4.53011635865845,"question",1,547,0.00182815356489945,1.82815356489945
"19983","Target_Child","or",4.53285420944558,"declarative",2,400,0.005,5
"19984","Target_Child","or",4.56570841889117,"declarative",1,3750,0.000266666666666667,0.266666666666667
"19985","Target_Child","or",4.5766598220397,"question",1,142,0.00704225352112676,7.04225352112676
"19986","Target_Child","or",4.58333333333333,"declarative",1,693,0.00144300144300144,1.44300144300144
"19987","Target_Child","or",4.58333333333333,"question",1,232,0.00431034482758621,4.31034482758621
"19988","Target_Child","or",4.58607118412047,"declarative",2,5440,0.000367647058823529,0.367647058823529
"19989","Target_Child","or",4.59154688569473,"question",2,174,0.0114942528735632,11.4942528735632
"19990","Target_Child","or",4.59702258726899,"declarative",1,405,0.00246913580246914,2.46913580246914
"19991","Target_Child","or",4.59702258726899,"question",1,173,0.00578034682080925,5.78034682080925
"19992","Target_Child","or",4.59976043805613,"declarative",2,2288,0.000874125874125874,0.874125874125874
"19993","Target_Child","or",4.59976043805613,"other",1,78,0.0128205128205128,12.8205128205128
"19994","Target_Child","or",4.59976043805613,"question",1,295,0.00338983050847458,3.38983050847458
"19995","Target_Child","or",4.61071184120465,"declarative",2,2513,0.000795861520095503,0.795861520095503
"19996","Target_Child","or",4.61071184120465,"question",1,584,0.00171232876712329,1.71232876712329
"19997","Target_Child","or",4.61344969199179,"declarative",1,1612,0.000620347394540943,0.620347394540943
"19998","Target_Child","or",4.61344969199179,"other",1,98,0.0102040816326531,10.2040816326531
"19999","Target_Child","or",4.61344969199179,"question",2,619,0.00323101777059774,3.23101777059774
"20000","Target_Child","or",4.62987679671458,"declarative",1,1395,0.000716845878136201,0.716845878136201
"20001","Target_Child","or",4.63809034907598,"declarative",1,1006,0.00099403578528827,0.99403578528827
"20002","Target_Child","or",4.6490417522245,"question",2,150,0.0133333333333333,13.3333333333333
"20003","Target_Child","or",4.65451745379877,"declarative",1,668,0.00149700598802395,1.49700598802395
"20004","Target_Child","or",4.65999315537303,"declarative",1,1238,0.000807754442649435,0.807754442649435
"20005","Target_Child","or",4.65999315537303,"other",1,82,0.0121951219512195,12.1951219512195
"20006","Target_Child","or",4.66273100616016,"declarative",3,3041,0.000986517592897073,0.986517592897073
"20007","Target_Child","or",4.66273100616016,"question",1,1019,0.00098135426889107,0.98135426889107
"20008","Target_Child","or",4.66666666666667,"declarative",5,6740,0.000741839762611276,0.741839762611276
"20009","Target_Child","or",4.66666666666667,"question",5,1080,0.00462962962962963,4.62962962962963
"20010","Target_Child","or",4.6694045174538,"declarative",1,2026,0.000493583415597236,0.493583415597236
"20011","Target_Child","or",4.67488021902806,"declarative",2,2513,0.000795861520095503,0.795861520095503
"20012","Target_Child","or",4.67488021902806,"other",2,142,0.0140845070422535,14.0845070422535
"20013","Target_Child","or",4.6776180698152,"declarative",1,2410,0.0004149377593361,0.4149377593361
"20014","Target_Child","or",4.6776180698152,"question",1,477,0.00209643605870021,2.09643605870021
"20015","Target_Child","or",4.68309377138946,"question",1,330,0.00303030303030303,3.03030303030303
"20016","Target_Child","or",4.68583162217659,"declarative",1,1045,0.000956937799043062,0.956937799043062
"20017","Target_Child","or",4.68583162217659,"question",1,359,0.00278551532033426,2.78551532033426
"20018","Target_Child","or",4.69130732375086,"declarative",1,1760,0.000568181818181818,0.568181818181818
"20019","Target_Child","or",4.69130732375086,"other",1,76,0.0131578947368421,13.1578947368421
"20020","Target_Child","or",4.69404517453799,"declarative",1,884,0.00113122171945701,1.13122171945701
"20021","Target_Child","or",4.70499657768652,"declarative",1,876,0.00114155251141553,1.14155251141552
"20022","Target_Child","or",4.70499657768652,"question",1,231,0.00432900432900433,4.32900432900433
"20023","Target_Child","or",4.72142368240931,"declarative",1,1200,0.000833333333333333,0.833333333333333
"20024","Target_Child","or",4.72142368240931,"question",1,521,0.00191938579654511,1.91938579654511
"20025","Target_Child","or",4.7460643394935,"question",1,167,0.00598802395209581,5.98802395209581
"20026","Target_Child","or",4.75,"declarative",106,202826,0.000522615443779397,0.522615443779397
"20027","Target_Child","or",4.75,"imperative",11,19105,0.000575765506411934,0.575765506411934
"20028","Target_Child","or",4.75,"other",22,19580,0.00112359550561798,1.12359550561798
"20029","Target_Child","or",4.75,"question",203,56099,0.00361860282714487,3.61860282714487
"20030","Target_Child","or",4.75547570157426,"declarative",4,2275,0.00175824175824176,1.75824175824176
"20031","Target_Child","or",4.75547570157426,"question",1,766,0.00130548302872063,1.30548302872063
