"","speaker_role","word","target_child_age_years","count","total","rel_freq","ppt"
"5750","Target_Child","and",1.46321013004791,1,1368,0.000730994152046784,0.730994152046784
"5751","Target_Child","and",1.4796372347707,4,816,0.00490196078431373,4.90196078431373
"5752","Target_Child","and",1.4878507871321,3,1039,0.00288739172281039,2.88739172281039
"5753","Target_Child","and",1.4960643394935,1,266,0.0037593984962406,3.7593984962406
"5754","Target_Child","and",1.5,4,4707,0.000849798172933928,0.849798172933928
"5755","Target_Child","and",1.50547570157426,12,1553,0.0077269800386349,7.7269800386349
"5756","Target_Child","and",1.51095140314853,2,1534,0.00130378096479791,1.30378096479791
"5757","Target_Child","and",1.54106776180698,2,689,0.00290275761973875,2.90275761973875
"5758","Target_Child","and",1.54380561259411,2,801,0.00249687890137328,2.49687890137328
"5759","Target_Child","and",1.55201916495551,1,573,0.00174520069808028,1.74520069808028
"5760","Target_Child","and",1.55475701574264,25,2846,0.00878425860857344,8.78425860857344
"5761","Target_Child","and",1.55749486652977,5,872,0.00573394495412844,5.73394495412844
"5762","Target_Child","and",1.57392197125257,2,575,0.00347826086956522,3.47826086956522
"5763","Target_Child","and",1.58333333333333,26,12367,0.00210236920837713,2.10236920837713
"5764","Target_Child","and",1.59428473648186,1,614,0.00162866449511401,1.62866449511401
"5765","Target_Child","and",1.59702258726899,1,556,0.00179856115107914,1.79856115107914
"5766","Target_Child","and",1.61071184120465,1,1502,0.00066577896138482,0.66577896138482
"5767","Target_Child","and",1.61892539356605,1,245,0.00408163265306122,4.08163265306122
"5768","Target_Child","and",1.62166324435318,5,1104,0.00452898550724638,4.52898550724638
"5769","Target_Child","and",1.62440109514031,1,432,0.00231481481481481,2.31481481481481
"5770","Target_Child","and",1.63261464750171,1,1015,0.000985221674876847,0.985221674876847
"5771","Target_Child","and",1.63535249828884,2,1260,0.00158730158730159,1.58730158730159
"5772","Target_Child","and",1.64082819986311,1,555,0.0018018018018018,1.8018018018018
"5773","Target_Child","and",1.64630390143737,1,1511,0.000661813368630046,0.661813368630046
"5774","Target_Child","and",1.65451745379877,1,1645,0.00060790273556231,0.60790273556231
"5775","Target_Child","and",1.6572553045859,1,446,0.00224215246636771,2.24215246636771
"5776","Target_Child","and",1.66666666666667,14,4848,0.00288778877887789,2.88778877887789
"5777","Target_Child","and",1.6694045174538,1,1548,0.000645994832041344,0.645994832041344
"5778","Target_Child","and",1.67214236824093,4,1677,0.00238521168753727,2.38521168753727
"5779","Target_Child","and",1.67488021902806,4,1089,0.00367309458218549,3.67309458218549
"5780","Target_Child","and",1.6776180698152,10,2115,0.00472813238770686,4.72813238770686
"5781","Target_Child","and",1.68856947296372,4,1497,0.00267201068804275,2.67201068804275
"5782","Target_Child","and",1.70499657768652,2,1774,0.00112739571589628,1.12739571589628
