"dv_type","sid","trial_type","response","feedback","age_year","age_category"
"2",106,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",108,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",1,"XY.XorY","Right",NA,NA,"Adults"
"2",2,"XY.XorY","Right",NA,NA,"Adults"
"2",3,"XY.XorY","Wrong",NA,NA,"Adults"
"2",4,"XY.XorY","Wrong",NA,NA,"Adults"
"2",5,"XY.XorY","Right",NA,NA,"Adults"
"2",6,"XY.XorY","Right",NA,NA,"Adults"
"2",7,"XY.XorY","Right",NA,NA,"Adults"
"2",8,"XY.XorY","Right",NA,NA,"Adults"
"2",10,"XY.XorY","Right",NA,NA,"Adults"
"2",14,"XY.XorY","Right",NA,NA,"Adults"
"2",16,"XY.XorY","Wrong",NA,NA,"Adults"
"2",20,"XY.XorY","Wrong",NA,NA,"Adults"
"2",22,"XY.XorY","Wrong",NA,NA,"Adults"
"2",24,"XY.XorY","Right",NA,NA,"Adults"
"2",26,"XY.XorY","Right",NA,NA,"Adults"
"2",29,"XY.XorY","Right",NA,NA,"Adults"
"2",30,"XY.XorY","Right",NA,NA,"Adults"
"2",34,"XY.XorY","Right",NA,NA,"Adults"
"2",39,"XY.XorY","Right",NA,NA,"Adults"
"2",40,"XY.XorY","Right",NA,NA,"Adults"
"2",41,"XY.XorY","Right",NA,NA,"Adults"
"2",42,"XY.XorY","Right",NA,NA,"Adults"
"2",43,"XY.XorY","Right",NA,NA,"Adults"
"2",44,"XY.XorY","Right",NA,NA,"Adults"
"2",45,"XY.XorY","Right",NA,NA,"Adults"
"2",47,"XY.XorY","Right",NA,NA,"Adults"
"2",48,"XY.XorY","Right",NA,NA,"Adults"
"2",50,"XY.XorY","Wrong",NA,NA,"Adults"
"2",51,"XY.XorY","Right",NA,NA,"Adults"
"2",52,"XY.XorY","Right",NA,NA,"Adults"
"2",56,"XY.XorY","Right",NA,NA,"Adults"
"2",57,"XY.XorY","Right",NA,NA,"Adults"
"2",59,"XY.XorY","Right",NA,NA,"Adults"
"2",61,"XY.XorY","Right",NA,NA,"Adults"
"2",64,"XY.XorY","Right",NA,NA,"Adults"
"2",65,"XY.XorY","Right",NA,NA,"Adults"
"2",68,"XY.XorY","Right",NA,NA,"Adults"
"2",72,"XY.XorY","Right",NA,NA,"Adults"
"2",73,"XY.XorY","Right",NA,NA,"Adults"
"2",76,"XY.XorY","Right",NA,NA,"Adults"
"2",78,"XY.XorY","Right",NA,NA,"Adults"
"2",79,"XY.XorY","Right",NA,NA,"Adults"
"2",81,"XY.XorY","Right",NA,NA,"Adults"
"2",83,"XY.XorY","Right",NA,NA,"Adults"
"2",85,"XY.XorY","Wrong",NA,NA,"Adults"
"2",87,"XY.XorY","Right",NA,NA,"Adults"
"2",88,"XY.XorY","Right",NA,NA,"Adults"
"2",91,"XY.XorY","Right",NA,NA,"Adults"
"2",92,"XY.XorY","Right",NA,NA,"Adults"
"2",94,"XY.XorY","Wrong",NA,NA,"Adults"
"2",97,"XY.XorY","Wrong",NA,NA,"Adults"
"2",99,"XY.XorY","Wrong",NA,NA,"Adults"
"2",101,"XY.XorY","Right",NA,NA,"Adults"
"2",103,"XY.XorY","Right",NA,NA,"Adults"
"2",105,"XY.XorY","Right",NA,NA,"Adults"
"2",106,"XY.XorY","Right",NA,NA,"Adults"
"2",108,"XY.XorY","Right",NA,NA,"Adults"
"2",1,"XY.YorZ","Right",NA,NA,"Adults"
"2",2,"XY.YorZ","Right",NA,NA,"Adults"
"2",3,"XY.YorZ","Right",NA,NA,"Adults"
"2",4,"XY.YorZ","Right",NA,NA,"Adults"
"2",5,"XY.YorZ","Right",NA,NA,"Adults"
"2",6,"XY.YorZ","Right",NA,NA,"Adults"
"2",7,"XY.YorZ","Right",NA,NA,"Adults"
"2",8,"XY.YorZ","Right",NA,NA,"Adults"
"2",10,"XY.YorZ","Right",NA,NA,"Adults"
"2",14,"XY.YorZ","Right",NA,NA,"Adults"
"2",16,"XY.YorZ","Right",NA,NA,"Adults"
"2",20,"XY.YorZ","Wrong",NA,NA,"Adults"
"2",22,"XY.YorZ","Right",NA,NA,"Adults"
"2",24,"XY.YorZ","Right",NA,NA,"Adults"
"2",26,"XY.YorZ","Right",NA,NA,"Adults"
"2",29,"XY.YorZ","Right",NA,NA,"Adults"
"2",30,"XY.YorZ","Right",NA,NA,"Adults"
"2",34,"XY.YorZ","Right",NA,NA,"Adults"
"2",39,"XY.YorZ","Right",NA,NA,"Adults"
"2",40,"XY.YorZ","Right",NA,NA,"Adults"
"2",41,"XY.YorZ","Right",NA,NA,"Adults"
"2",42,"XY.YorZ","Right",NA,NA,"Adults"
"2",43,"XY.YorZ","Right",NA,NA,"Adults"
"2",44,"XY.YorZ","Right",NA,NA,"Adults"
"2",45,"XY.YorZ","Right",NA,NA,"Adults"
"2",47,"XY.YorZ","Right",NA,NA,"Adults"
"2",48,"XY.YorZ","Right",NA,NA,"Adults"
"2",50,"XY.YorZ","Wrong",NA,NA,"Adults"
"2",51,"XY.YorZ","Right",NA,NA,"Adults"
"2",52,"XY.YorZ","Right",NA,NA,"Adults"
"2",56,"XY.YorZ","Right",NA,NA,"Adults"
"2",57,"XY.YorZ","Right",NA,NA,"Adults"
"2",59,"XY.YorZ","Right",NA,NA,"Adults"
"2",61,"XY.YorZ","Right",NA,NA,"Adults"
